       gamfz        mwfz         tfz           p       ispfz
   1.2041E+00  2.4432E+01  3.8224E+03  1.6000E+02  1.6979E-04
   1.2038E+00  2.4454E+01  3.8317E+03  1.7000E+02  0.0000E+00
   1.2063E+00  2.4454E+01  3.4752E+03  9.5746E+01  1.1939E+03
   1.2038E+00  2.4454E+01  3.8317E+03  1.7000E+02  0.0000E+00
   1.2069E+00  2.4666E+01  3.6783E+03  6.0000E+01  0.0000E+00
   1.2095E+00  2.4666E+01  3.3312E+03  3.3755E+01  1.1654E+03
   1.2069E+00  2.4666E+01  3.6783E+03  6.0000E+01  0.0000E+00
   1.2062E+00  2.4722E+01  3.7022E+03  7.0000E+01  0.0000E+00
   1.2087E+00  2.4722E+01  3.3540E+03  3.9391E+01  1.1677E+03
   1.2062E+00  2.4722E+01  3.7022E+03  7.0000E+01        -NAN
   1.2055E+00  2.4770E+01  3.7230E+03  8.0000E+01  0.0000E+00
   1.2080E+00  2.4770E+01  3.3738E+03  4.5029E+01  1.1697E+03
   1.2055E+00  2.4770E+01  3.7230E+03  8.0000E+01  0.0000E+00
   1.2050E+00  2.4813E+01  3.7414E+03  9.0000E+01  0.0000E+00
   1.2074E+00  2.4813E+01  3.3914E+03  5.0668E+01  1.1714E+03
   1.2050E+00  2.4813E+01  3.7414E+03  9.0000E+01  0.0000E+00
   1.2044E+00  2.4852E+01  3.7579E+03  1.0000E+02  0.0000E+00
   1.2069E+00  2.4852E+01  3.4072E+03  5.6308E+01  1.1729E+03
   1.2044E+00  2.4852E+01  3.7579E+03  1.0000E+02  0.0000E+00
   1.2040E+00  2.4887E+01  3.7728E+03  1.1000E+02  0.0000E+00
   1.2064E+00  2.4887E+01  3.4214E+03  6.1949E+01  1.1743E+03
   1.2040E+00  2.4887E+01  3.7728E+03  1.1000E+02  0.0000E+00
   1.2035E+00  2.4920E+01  3.7865E+03  1.2000E+02  0.0000E+00
   1.2060E+00  2.4920E+01  3.4345E+03  6.7591E+01  1.1756E+03
   1.2035E+00  2.4920E+01  3.7865E+03  1.2000E+02  0.0000E+00
   1.2032E+00  2.4950E+01  3.7991E+03  1.3000E+02  0.0000E+00
   1.2056E+00  2.4950E+01  3.4466E+03  7.3234E+01  1.1767E+03
   1.2032E+00  2.4950E+01  3.7991E+03  1.3000E+02        -NAN
   1.2028E+00  2.4978E+01  3.8108E+03  1.4000E+02  0.0000E+00
   1.2052E+00  2.4978E+01  3.4578E+03  7.8878E+01  1.1778E+03
   1.2028E+00  2.4978E+01  3.8108E+03  1.4000E+02        -NAN
   1.2025E+00  2.5004E+01  3.8217E+03  1.5000E+02  0.0000E+00
   1.2049E+00  2.5004E+01  3.4682E+03  8.4522E+01  1.1788E+03
   1.2025E+00  2.5004E+01  3.8217E+03  1.5000E+02  0.0000E+00
   1.2021E+00  2.5028E+01  3.8319E+03  1.6000E+02  0.0000E+00
   1.2045E+00  2.5028E+01  3.4780E+03  9.0167E+01  1.1797E+03
   1.2021E+00  2.5028E+01  3.8319E+03  1.6000E+02  1.5976E-04
   1.2018E+00  2.5051E+01  3.8415E+03  1.7000E+02  0.0000E+00
   1.2042E+00  2.5051E+01  3.4872E+03  9.5812E+01  1.1806E+03
   1.2018E+00  2.5051E+01  3.8415E+03  1.7000E+02  0.0000E+00
   1.2056E+00  2.5185E+01  3.6736E+03  6.0000E+01  0.0000E+00
   1.2081E+00  2.5185E+01  3.3290E+03  3.3771E+01  1.1523E+03
   1.2056E+00  2.5185E+01  3.6736E+03  6.0000E+01  0.0000E+00
   1.2048E+00  2.5242E+01  3.6975E+03  7.0000E+01  0.0000E+00
   1.2073E+00  2.5242E+01  3.3519E+03  3.9410E+01  1.1545E+03
   1.2048E+00  2.5242E+01  3.6975E+03  7.0000E+01  1.4983E-04
   1.2042E+00  2.5292E+01  3.7184E+03  8.0000E+01  0.0000E+00
   1.2066E+00  2.5292E+01  3.3718E+03  4.5051E+01  1.1565E+03
   1.2042E+00  2.5292E+01  3.7184E+03  8.0000E+01  0.0000E+00
   1.2036E+00  2.5337E+01  3.7369E+03  9.0000E+01  0.0000E+00
   1.2060E+00  2.5337E+01  3.3895E+03  5.0692E+01  1.1582E+03
   1.2036E+00  2.5337E+01  3.7369E+03  9.0000E+01  0.0000E+00
   1.2031E+00  2.5377E+01  3.7535E+03  1.0000E+02  0.0000E+00
   1.2055E+00  2.5377E+01  3.4053E+03  5.6335E+01  1.1598E+03
   1.2031E+00  2.5377E+01  3.7535E+03  1.0000E+02  0.0000E+00
   1.2026E+00  2.5413E+01  3.7685E+03  1.1000E+02  0.0000E+00
   1.2050E+00  2.5413E+01  3.4197E+03  6.1979E+01  1.1611E+03
   1.2026E+00  2.5413E+01  3.7685E+03  1.1000E+02        -NAN
   1.2022E+00  2.5446E+01  3.7823E+03  1.2000E+02  0.0000E+00
   1.2046E+00  2.5446E+01  3.4329E+03  6.7624E+01  1.1624E+03
   1.2022E+00  2.5446E+01  3.7823E+03  1.2000E+02  1.6413E-04
   1.2018E+00  2.5477E+01  3.7950E+03  1.3000E+02  0.0000E+00
   1.2042E+00  2.5477E+01  3.4450E+03  7.3270E+01  1.1635E+03
   1.2018E+00  2.5477E+01  3.7950E+03  1.3000E+02  0.0000E+00
   1.2014E+00  2.5506E+01  3.8067E+03  1.4000E+02  0.0000E+00
   1.2038E+00  2.5506E+01  3.4563E+03  7.8916E+01  1.1646E+03
   1.2014E+00  2.5506E+01  3.8067E+03  1.4000E+02  0.0000E+00
   1.2011E+00  2.5533E+01  3.8177E+03  1.5000E+02  0.0000E+00
   1.2034E+00  2.5533E+01  3.4668E+03  8.4563E+01  1.1656E+03
   1.2011E+00  2.5533E+01  3.8177E+03  1.5000E+02        -NAN
